Műfaj;Fogalma;Típus/Példa
Epikai műfajok (Nagy- és kisepika)
Regény;Nagy terjedelmű, szerteágazó cselekményű műfaj, amely hosszabb időszakot ölel fel és több szálon futó eseménysort, számos szereplőt mutat be.;Nagyepika (pl. Egri csillagok)
Novella;Rövid, tömör kisepikai műfaj, amely kevés szereplőt mozgat, egyetlen eseménysorra fókuszál, és gyakran sorsfordító csattanóval zárul.;Kisepika (pl. Pénz beszél)
Eposz;Kötött formájú, rendkívüli képességekkel rendelkező hősöket bemutató nagyepikai műfaj, amely egy egész közösség sorsára kiható eseményt dolgoz fel.;Hősepika (pl. Odüsszeia)
Mese;Kitalált eseményeken alapuló, gyakran csodás elemekkel átszőtt történet, amelyben a jó és a rossz küzdelme végül a jó győzelmével zárul.;Életkép/Tanmese (pl. népmesék)
Monda;Valóságos történelmi alapokkal rendelkező, de képzeletbeli, csodás elemekkel gazdagított történet egy nép múltjából.;Történeti epika (pl. Rege a csodaszarvasról)
Mítosz;A világ keletkezéséről, isteneiről és félisteneiről szóló történet, amely egy kultúra alapvető kérdéseire keresi a választ.;Mitológia (pl. Trójai mondakör)
Anektoda;Rövid, csattanós, többnyire közismert személyekhez kapcsolódó, vidám történet, amely jellemzően szóbeli hagyományon alapul.;Kisepika (pl. Mikszáth Kálmán művei)
Elbeszélés;A novella és a kisregény közötti átmeneti műfaj, amely a novellánál részletezőbb, de a regénynél szűkebb cselekményű.;Kisepika (pl. Tóték)

Lírai műfajok
Dal;Egyszerű érzelmet kifejező, rövid, ritmikus, könnyen énekelhető lírai műfaj, amely gyakran ismétlődő versszakokból épül fel.;Líra (pl. Petőfi Sándor dalai)
Óda;Magasztos tárgyú, emelkedett hangvételű, bonyolult szerkezetű, ünnepélyes költemény, amely gyakran egy eszmét vagy személyt dicsőít.;Gondolati líra (pl. Szózat)
Himnusz;Istenhez vagy magasztos eszméhez szóló fohász, dicsőítő ének, amely közösségi érzéseket fejez ki.;Vallásos/Nemzeti líra (pl. Himnusz)
Elégia;Bánatos, mélabús hangvételű költemény, amelyben az elmúlás, a veszteség vagy a vágyott boldogság elérhetetlensége jelenik meg.;Líra (pl. Szeptember végén)
Epigramma;Rövid, tömör, eredetileg sírfeliratként szolgáló műfaj, amely egyetlen gondolatot fejez ki, gyakran csattanóval a végén.;Líra (pl. Huszt)
Szonett;Szigorúan kötött, 14 sorból álló versforma (4+4+3+3), amely a reneszánsz óta a legnépszerűbb lírai formák egyike.;Líra (pl. Dante, Petrarca művei)
Rapszódia;Csapongó, szenvedélyes, változó ritmusú és érzelmi töltésű lírai műfaj, amely a lelkiállapot hirtelen változásait tükrözi.;Líra (pl. Egy gondolat bánt engemet)

Drámai műfajok
Tragédia;Olyan drámai műfaj, amelyben a pozitív hős és az általa képviselt értékrend bukása elkerülhetetlen, ami a nézőben katarzist vált ki.;Dráma (pl. Antigoné)
Komédia;Olyan drámai műfaj, amely nevetséges jellemeket vagy helyzeteket mutat be, célja a szórakoztatás és a hibák kifigurázása.;Dráma (pl. Tartuffe)
Drámai költemény;Az emberi lét alapvető kérdéseit feszegető, lírai elemekkel átszőtt, gondolati jellegű drámai mű, amely gyakran olvasásra is készül.;Dráma (pl. Az ember tragédiája)
Színmű;A tragédia és a komédia elemeit ötvöző drámai műfaj, amely hétköznapi problémákat és konfliktusokat dolgoz fel.;Dráma (pl. Csongor és Tünde)

Átmeneti és határműfajok
Ballada;Sűrített cselekményű, tragikus végkifejletű műfaj, amelyet gyakran „tragédia dalban elbeszélve” néven említenek. Homályos, szaggatott előadásmód jellemzi.;Epika (történet), Líra (verses forma, érzelmek), Dráma (párbeszédek, konfliktus)
Életkép;A mindennapi élet egy-egy jellemző helyzetét, alakját vagy típusát bemutató rövid mű. Gyakran statikus, egy pillanatot örökít meg.;Epika (szituáció bemutatása) és Líra (hangulati elemek)
Verses regény;Olyan nagyepikai mű, amely megtartja a regény cselekményét és karaktereit, de verses formában íródik, és a narrátor lírai reflexiói átszövik a szöveget.;Epika (cselekmény) és Líra (formanyelv, szubjektivitás)
Idill;A boldog, harmonikus életállapotot vagy a természet közelségét bemutató, többnyire békés hangvételű műfaj.;Líra (érzelmek) és Epika (leíró jelleg)
Példázat (Parabola);Rövid, tanító szándékú történet, amely egy erkölcsi, vallási vagy filozófiai igazságot világít meg egy párhuzamos történeten keresztül.;Epika (történet) és Líra/Dráma (eszmei mondanivaló)

Néhány fontosabb altípus és műfajcsoport
Gúny/Szatíra;A valóság visszásságait éles kritikai éllel, nevetségessé tétellel bemutató látásmód vagy műfaj.;Epika vagy Líra (pl. Swift: Gulliver utazásai)
Pamflet;Aktuális közéleti, politikai kérdésekben állást foglaló, támadó szellemű, rövid írásmű.;Epika/Publicisztika
Eszterházy-forma;A 20. századi magyar irodalomra jellemző töredékes, mozaikos elbeszélésmód (bár ez inkább stílusirányzat, sokszor műfajteremtő).;Modern epika

Az átmeneti műfajok (főleg a ballada) azért izgalmasak, mert a szerző minden eszközt bevet:
Van benne történet (epika).
Van benne párbeszéd (dráma).
Mindezt verses, érzelmes formában tálalja (líra).